epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9616,0.88115,3.3762,1.31997,0.00387,0.91667,0.15185,0.08481,0.99308,3.36065,1.26169,4.287e-05,4.287e-05,4.287e-05
2,2.92925,1.14526,3.4677,1.57964,0.00384,0.91667,0.21941,0.15082,0.96266,3.2978,1.23963,9.90397e-05,9.90397e-05,9.90397e-05
3,3.92562,0.88786,3.17024,1.35855,0.00408,1,0.49169,0.32511,0.81157,3.05758,0.9926,0.000154078,0.000154078,0.000154078
4,4.95637,0.59092,2.64947,1.16498,0.00409,1,0.64421,0.44287,0.76923,2.89958,0.92462,0.000207984,0.000207984,0.000207984
5,5.91703,0.64012,2.24443,1.12201,0.00519,1,0.71251,0.46696,0.78301,2.82081,0.92907,0.000260758,0.000260758,0.000260758
6,6.81328,0.92614,1.90297,1.31992,0.00592,1,0.75897,0.47343,0.79677,2.78337,0.94808,0.000312401,0.000312401,0.000312401
7,7.72225,0.78989,1.70129,1.17439,0.00728,1,0.70305,0.46308,0.85099,2.82956,0.97698,0.000362912,0.000362912,0.000362912
8,8.61881,0.77436,1.98125,1.13164,0.00859,1,0.713,0.48705,0.8845,2.68818,1.02332,0.000412291,0.000412291,0.000412291
9,9.59066,0.75642,1.60488,1.14215,0.00726,1,0.87684,0.6339,0.80742,2.50579,0.90392,0.000460538,0.000460538,0.000460538
10,10.5068,0.63854,1.47049,1.05395,1,0.64436,0.96722,0.7201,0.81643,2.15908,0.91497,0.000507654,0.000507654,0.000507654
11,11.4622,0.69,1.49856,1.11311,1,0.66238,0.97071,0.75703,0.79179,2.15693,0.91213,0.000553637,0.000553637,0.000553637
12,12.3705,0.73251,1.43336,1.04077,0.77107,0.58333,0.89139,0.67363,0.9068,2.26765,1.01467,0.000598489,0.000598489,0.000598489
13,13.36,0.60825,1.27286,1.06103,0.79908,0.46615,0.79409,0.60227,0.98174,2.27067,1.10924,0.00064221,0.00064221,0.00064221
14,14.3875,0.67256,1.2797,1.0958,0.75263,0.79235,0.90922,0.67053,1.00299,2.03039,1.0667,0.000684798,0.000684798,0.000684798
15,15.3402,0.83239,1.54717,1.12763,0.6219,0.7077,0.88036,0.65786,1.1051,2.10098,1.29093,0.000726255,0.000726255,0.000726255
16,16.2494,0.69268,1.774,1.01351,0.47246,0.61927,0.77815,0.51394,1.02651,2.86202,1.2019,0.00076658,0.00076658,0.00076658
17,17.2041,0.74817,1.44624,1.12463,0.9856,0.33333,0.78446,0.55993,1.06498,2.6795,1.48289,0.000805773,0.000805773,0.000805773
18,18.1285,0.66118,1.31413,1.06336,0.74109,0.61111,0.84637,0.5551,1.07603,2.25355,1.35509,0.000843835,0.000843835,0.000843835
19,18.9921,0.71349,1.45621,1.04195,0.84599,0.63082,0.91176,0.6665,1.04708,1.98118,1.32577,0.000880764,0.000880764,0.000880764
20,19.8951,0.78216,1.3437,1.15667,0.84775,0.85535,0.97071,0.68195,1.05511,1.53951,1.23277,0.000916562,0.000916562,0.000916562
21,20.814,0.60934,1.43166,1.03901,0.68649,0.91377,0.93417,0.60707,1.04269,1.71921,1.26525,0.000951228,0.000951228,0.000951228
22,21.6855,0.74,1.35239,1.06453,0.50922,0.99411,0.79112,0.53321,1.11465,2.01977,1.41656,0.000984762,0.000984762,0.000984762
23,22.56,0.70767,1.36553,1.04486,0.60215,0.93595,0.87367,0.58514,1.08953,2.32612,1.61184,0.00101717,0.00101717,0.00101717
24,23.4405,0.59082,1.53347,1.04574,0.73386,0.9904,0.93214,0.59106,0.97514,2.65665,1.28964,0.00104844,0.00104844,0.00104844
25,24.3208,0.56092,1.02961,0.95921,0.71175,0.98295,0.951,0.59732,0.90736,2.87306,1.10987,0.00107857,0.00107857,0.00107857
26,25.3105,0.57499,1.34333,1.0703,0.58826,0.90209,0.93944,0.6828,0.87136,2.65567,1.0881,0.00107532,0.00107532,0.00107532
27,26.2654,1.16344,2.31477,1.87858,0.55055,0.94321,0.89607,0.64023,0.90563,2.40421,1.15891,0.00106118,0.00106118,0.00106118
28,27.2462,0.83953,1.24752,1.29045,0.55235,0.94453,0.84529,0.59743,0.89992,2.47093,1.18013,0.00104703,0.00104703,0.00104703
29,28.5605,0.60211,1.04526,0.99723,0.65649,0.87974,0.90667,0.60195,0.95995,2.09453,1.23439,0.00103288,0.00103288,0.00103288
30,29.8158,0.81658,1.60977,1.29981,0.66706,0.91258,0.90751,0.56897,0.90826,1.87656,1.04448,0.00101873,0.00101873,0.00101873
31,31.0092,1.02441,1.43808,1.4049,0.72829,0.77511,0.82039,0.67611,0.92648,1.95281,1.13552,0.00100459,0.00100459,0.00100459
32,31.9596,0.85077,2.00001,1.33615,0.63253,0.93757,0.881,0.66866,0.90972,1.8084,0.95509,0.00099044,0.00099044,0.00099044
33,32.8806,0.65183,1.12139,1.06081,0.68757,0.955,0.93417,0.70624,0.98022,1.70545,1.00272,0.000976293,0.000976293,0.000976293
34,33.7391,0.74709,1.22442,1.14099,0.8088,0.98848,0.995,0.77432,0.94902,1.46352,1.02957,0.000962146,0.000962146,0.000962146
35,34.6865,0.6578,1.4098,1.13475,0.81732,0.9934,0.995,0.73542,1.01608,1.3962,1.1667,0.000947999,0.000947999,0.000947999
36,35.6096,1.52204,2.34493,1.6963,0.93596,0.92942,0.995,0.74542,0.93265,1.22259,1.16012,0.000933851,0.000933851,0.000933851
37,36.4928,0.57844,1.06485,1.02242,0.80856,0.92787,0.995,0.80424,0.84591,1.45617,1.07739,0.000919704,0.000919704,0.000919704
38,37.3809,0.60377,0.9876,1.03701,0.74392,0.9714,0.995,0.74166,0.95386,1.93199,1.1537,0.000905557,0.000905557,0.000905557
39,38.2442,0.57419,0.9294,0.99369,0.72702,0.98366,0.9675,0.69736,0.99738,2.27214,1.16847,0.00089141,0.00089141,0.00089141
40,39.1163,0.63467,1.26974,1.00741,0.64627,0.98497,0.95083,0.70664,0.99678,1.88181,1.1993,0.000877263,0.000877263,0.000877263
41,39.9799,0.82659,1.23813,1.10881,0.81186,0.8827,0.95083,0.61505,0.98562,1.76075,1.20122,0.000863116,0.000863116,0.000863116
42,40.8623,0.56608,1.20484,0.97426,0.85979,0.83501,0.945,0.62383,0.8656,1.65062,1.06222,0.000848969,0.000848969,0.000848969
43,41.7239,0.49028,0.85447,0.98548,0.79425,0.86013,0.92119,0.64317,0.83706,1.55923,1.02757,0.000834822,0.000834822,0.000834822
44,42.5977,0.61561,1.10257,1.01701,0.84979,0.89132,0.92208,0.76201,0.7268,1.3632,1.05277,0.000820675,0.000820675,0.000820675
45,43.5191,0.59894,0.99731,1.05321,0.85461,0.90706,0.93389,0.77157,0.74455,1.23614,1.08424,0.000806528,0.000806528,0.000806528
46,44.5386,0.58543,1.15243,1.09529,0.90722,0.90812,0.95333,0.77131,0.74981,1.08892,1.06922,0.00079238,0.00079238,0.00079238
47,45.5245,0.56404,0.85933,1.14935,0.93591,0.91033,0.995,0.83303,0.72828,1.00856,1.089,0.000778233,0.000778233,0.000778233
48,46.4324,0.58197,0.98713,0.99382,0.93508,0.92396,0.995,0.82199,0.7059,1.00333,1.1472,0.000764086,0.000764086,0.000764086
49,47.3619,0.76005,1.02647,1.15935,0.93207,0.92527,0.995,0.81717,0.7217,1.05324,1.18294,0.000749939,0.000749939,0.000749939
50,48.2727,0.56956,0.829,1.0217,0.80453,0.97733,0.907,0.67293,0.96706,1.46383,1.41833,0.000735792,0.000735792,0.000735792
51,49.3757,0.46789,0.9037,1.02618,0.69497,0.77778,0.68205,0.54654,1.16461,2.03676,1.65369,0.000721645,0.000721645,0.000721645
52,50.5161,0.68973,0.99449,1.1052,0.70566,0.77778,0.6794,0.53108,1.19969,1.9825,1.66595,0.000707498,0.000707498,0.000707498
53,51.5843,0.61659,0.88056,1.12573,0.81909,0.88889,0.88607,0.74491,0.88654,0.94597,1.25373,0.000693351,0.000693351,0.000693351
54,52.8561,0.68667,1.00465,1.10009,0.90169,1,0.9675,0.79574,0.6824,0.90538,0.95114,0.000679204,0.000679204,0.000679204
55,53.851,0.41552,0.90323,0.97461,0.90865,1,0.995,0.83183,0.64476,0.77479,0.88505,0.000665057,0.000665057,0.000665057
56,55.0474,0.41721,0.98378,0.94173,0.92388,1,0.995,0.82147,0.65755,0.83484,0.86466,0.000650909,0.000650909,0.000650909
57,56.2191,0.56988,0.90899,1.06562,0.89489,0.98969,0.995,0.82101,0.65475,0.87106,0.85223,0.000636762,0.000636762,0.000636762
58,57.2185,0.54776,0.88085,1.06206,0.90256,0.94357,0.995,0.82959,0.65753,0.91046,0.84347,0.000622615,0.000622615,0.000622615
59,58.3236,0.45706,0.75236,0.96928,0.90233,0.9296,0.995,0.86031,0.64327,0.91155,0.82711,0.000608468,0.000608468,0.000608468
60,59.4748,0.48583,0.78286,1.03701,0.89135,0.93091,0.995,0.84816,0.64844,0.84031,0.83781,0.000594321,0.000594321,0.000594321
61,60.8346,0.53741,0.95334,1.01425,0.94715,0.92048,0.995,0.86324,0.66444,0.74438,0.86747,0.000580174,0.000580174,0.000580174
62,61.8521,0.87072,1.27416,1.20193,0.98373,0.9225,0.995,0.78212,0.74038,0.79848,0.9249,0.000566027,0.000566027,0.000566027
63,62.7444,0.89204,1.3757,1.45019,0.88288,0.80723,0.918,0.76421,0.84399,0.88774,1.07652,0.00055188,0.00055188,0.00055188
64,63.7831,0.46467,0.70426,0.95676,0.75406,0.88741,0.81184,0.66199,0.90738,1.05238,1.20097,0.000537733,0.000537733,0.000537733
65,64.7263,0.6074,1.05857,0.96785,0.70263,0.77778,0.78112,0.63106,1.0109,1.07437,1.34192,0.000523586,0.000523586,0.000523586
66,65.824,0.37335,0.68758,0.90942,0.69927,0.77521,0.78401,0.63891,1.0642,1.11786,1.36679,0.000509438,0.000509438,0.000509438
67,66.7291,0.46239,0.94477,1.01796,0.68662,0.77558,0.78255,0.63206,1.06201,1.22096,1.25454,0.000495291,0.000495291,0.000495291
68,67.6882,0.4666,0.67547,0.95872,0.73883,0.88889,0.85898,0.64528,1.07785,1.34258,1.23509,0.000481144,0.000481144,0.000481144
69,68.8985,0.57585,1.04873,0.98958,0.73986,0.88889,0.83868,0.6492,1.06593,1.48429,1.18909,0.000466997,0.000466997,0.000466997
70,69.8356,0.45844,0.7,0.93407,0.70955,0.77778,0.78054,0.65133,1.06882,1.55923,1.16559,0.00045285,0.00045285,0.00045285
71,70.9404,0.48361,0.7643,0.94084,0.71205,0.77778,0.78068,0.65084,1.05351,1.46927,1.15846,0.000438703,0.000438703,0.000438703
72,72.1994,0.39845,1.08427,0.957,0.71158,0.77778,0.77881,0.64972,1.06126,1.28995,1.18904,0.000424556,0.000424556,0.000424556
73,73.2425,0.38451,0.74287,0.96743,0.71284,0.77778,0.77521,0.64546,1.10364,1.09052,1.26175,0.000410409,0.000410409,0.000410409
74,74.3615,0.63142,1.01587,1.04061,0.71675,0.77778,0.7752,0.64818,1.06932,0.9921,1.23411,0.000396262,0.000396262,0.000396262
75,75.4892,0.41161,0.79219,0.95174,0.76844,0.88889,0.83019,0.68403,0.89095,0.94101,1.01033,0.000382115,0.000382115,0.000382115
76,76.5704,0.7014,1.68081,1.10676,0.85464,0.88889,0.88518,0.7483,0.84036,0.79454,1.04413,0.000367967,0.000367967,0.000367967
77,77.666,0.4881,0.76158,0.95599,0.86518,0.88889,0.88517,0.7483,0.82984,0.7438,1.01814,0.00035382,0.00035382,0.00035382
78,78.6674,0.39867,0.69099,0.9383,0.85112,0.88889,0.89417,0.7411,0.86174,0.72116,1.03328,0.000339673,0.000339673,0.000339673
79,79.6385,0.4065,0.67319,0.88548,0.78049,0.99118,0.951,0.76473,0.79939,0.73301,0.91339,0.000325526,0.000325526,0.000325526
80,80.4972,0.41977,0.67433,0.91097,0.93686,1,0.995,0.81425,0.80162,0.6719,0.94038,0.000311379,0.000311379,0.000311379
81,81.4199,0.49574,0.67722,0.98897,0.90921,1,0.995,0.81677,0.78909,0.70676,0.91095,0.000297232,0.000297232,0.000297232
82,82.3951,0.40889,0.69732,0.9463,0.90735,1,0.995,0.8195,0.79482,0.70581,0.92232,0.000283085,0.000283085,0.000283085
83,83.4154,0.39796,0.77175,0.91157,0.90538,1,0.995,0.80241,0.80564,0.73251,0.91082,0.000268938,0.000268938,0.000268938
84,84.4637,0.45373,0.65293,0.86495,0.90505,1,0.995,0.77864,0.82969,0.7399,0.91334,0.000254791,0.000254791,0.000254791
85,85.4976,0.38971,0.61467,0.91644,0.90483,1,0.995,0.77873,0.83913,0.72901,0.9146,0.000240644,0.000240644,0.000240644
86,86.69,0.38127,0.55311,0.94654,0.90371,1,0.995,0.76813,0.87238,0.71608,0.92967,0.000226497,0.000226497,0.000226497
87,87.9398,0.33739,0.5747,0.95453,0.90299,1,0.995,0.74814,0.89567,0.71385,0.93585,0.000212349,0.000212349,0.000212349
88,89.1406,0.34887,0.56535,0.88661,0.9033,1,0.995,0.78775,0.908,0.71014,0.93322,0.000198202,0.000198202,0.000198202
89,90.5437,0.33975,0.69721,0.91068,0.90513,1,0.995,0.78213,0.90769,0.70476,0.93316,0.000184055,0.000184055,0.000184055
90,91.5327,0.41871,0.6525,0.90113,0.90481,1,0.995,0.80561,0.88229,0.69832,0.91424,0.000169908,0.000169908,0.000169908
91,117.031,1.37329,1.21185,1.82151,0.90208,1,0.995,0.81931,0.85749,0.72115,0.89737,0.000155761,0.000155761,0.000155761
92,117.886,0.50757,0.90515,0.99924,0.87664,1,0.995,0.83022,0.83174,0.70816,0.89261,0.000141614,0.000141614,0.000141614
93,118.772,0.31508,0.72956,0.91787,0.90577,1,0.995,0.83575,0.80403,0.67133,0.8827,0.000127467,0.000127467,0.000127467
94,119.723,0.69091,1.0812,0.95329,0.94102,1,0.995,0.82828,0.79205,0.65695,0.88275,0.00011332,0.00011332,0.00011332
95,120.634,0.38673,0.78678,0.91496,0.96286,1,0.995,0.82752,0.78116,0.64103,0.87551,9.91726e-05,9.91726e-05,9.91726e-05
96,121.556,0.35073,0.76142,0.93442,0.97212,1,0.995,0.85138,0.76528,0.62794,0.86789,8.50255e-05,8.50255e-05,8.50255e-05
97,122.438,0.41092,0.72441,0.88261,0.97609,1,0.995,0.85138,0.75066,0.61839,0.86076,7.08784e-05,7.08784e-05,7.08784e-05
98,123.317,0.37227,0.74321,0.83993,0.97899,1,0.995,0.85138,0.75046,0.61088,0.86001,5.67313e-05,5.67313e-05,5.67313e-05
99,124.17,0.34619,0.74145,0.86896,0.97828,1,0.995,0.85138,0.75078,0.6198,0.85824,4.25842e-05,4.25842e-05,4.25842e-05
100,125.028,0.28403,0.87411,0.84345,0.97994,1,0.995,0.83132,0.75748,0.61504,0.86586,2.84371e-05,2.84371e-05,2.84371e-05
